User,Item,Rating
16,Patates Kızartması,5.0
16,Bulgur Pilavı,5.0
16,Cacık,5.0
16,Çoban Salata,3.0
16,Yoğurt,4.0
16,Pırasa,3.0
16,İrmik Helvası,3.0
16,Turşu,4.0
16,Sütlaç,4.0
16,Kadayıf,4.0
16,Kola,5.0
16,Ayran,4.0
16,Fanta,5.0
16,Su,4.0
17,Mercimek Çorbası,5.0
17,Ezogelin Çorbası,4.0
17,Şehriye Çorbası,3.0
17,Yayla Çorbası,1.0
17,Kuzu Etli Çorba,0
17,Tas Kebabı,5.0
17,Kuzu Şiş,5.0
17,Kabak Graten,0
17,Kabak Dolması,1.0
17,Köfte,4.0
17,Tavuk Biftek,4.0
17,Tavuk Sote,5.0
17,Karnıyarık,3.0
17,Kuru Fasulye,3.0
17,Patlıcan Musakka,2.0
17,Bezelye,3.0
17,Tavuk Kanat,5.0
17,Nohut,4.0
17,Türlü,5.0
17,Ispanak,3.0
17,Taze Fasulye,4.0
17,Bamya,1.0
17,Dana Rosto,5.0
17,Pirinç Pilavı,5.0
17,Patates Kızartması,5.0
17,Bulgur Pilavı,5.0
17,Cacık,5.0
17,Çoban Salata,5.0
17,Yoğurt,5.0
17,Pırasa,3.0
17,İrmik Helvası,4.0
17,Turşu,4.0
17,Sütlaç,4.0
17,Kadayıf,4.0
17,Kola,5.0
17,Ayran,5.0
17,Fanta,5.0
17,Su,5.0
18,Mercimek Çorbası,5.0
18,Ezogelin Çorbası,4.0
18,Şehriye Çorbası,3.0
18,Yayla Çorbası,2.0
18,Kuzu Etli Çorba,4.0
18,Tas Kebabı,5.0
18,Kuzu Şiş,5.0
18,Kabak Graten,2.0
18,Kabak Dolması,2.0
18,Köfte,4.0
18,Tavuk Biftek,5.0
18,Tavuk Sote,5.0
18,Karnıyarık,4.0
18,Kuru Fasulye,3.0
18,Patlıcan Musakka,3.0
18,Bezelye,4.0
18,Tavuk Kanat,5.0
18,Nohut,3.0
18,Türlü,3.0
18,Ispanak,3.0
18,Taze Fasulye,3.0
18,Bamya,1.0
18,Dana Rosto,4.0
18,Pirinç Pilavı,3.0
18,Patates Kızartması,5.0
18,Bulgur Pilavı,3.0
18,Cacık,3.0
18,Çoban Salata,3.0
18,Yoğurt,3.0
18,Pırasa,1.0
18,İrmik Helvası,1.0
18,Turşu,1.0
18,Sütlaç,1.0
18,Kadayıf,5.0
18,Kola,1.0
18,Ayran,3.0
18,Fanta,3.0
18,Su,4.0
19,Mercimek Çorbası,5.0
19,Ezogelin Çorbası,3.0
19,Şehriye Çorbası,3.0
19,Yayla Çorbası,4.0
19,Kuzu Etli Çorba,5.0
19,Tas Kebabı,5.0
19,Kuzu Şiş,5.0
19,Kabak Graten,4.0
19,Kabak Dolması,5.0
19,Köfte,4.0
19,Tavuk Biftek,4.0
19,Tavuk Sote,4.0
19,Karnıyarık,5.0
19,Kuru Fasulye,5.0
19,Patlıcan Musakka,5.0
19,Bezelye,3.0
19,Tavuk Kanat,5.0
19,Nohut,3.0
19,Türlü,4.0
19,Ispanak,5.0
19,Taze Fasulye,5.0
19,Bamya,4.0
19,Dana Rosto,3.0
19,Pirinç Pilavı,5.0
19,Patates Kızartması,5.0
19,Bulgur Pilavı,5.0
19,Cacık,5.0
19,Çoban Salata,5.0
19,Yoğurt,5.0
19,Pırasa,4.0
19,İrmik Helvası,5.0
19,Turşu,5.0
19,Sütlaç,5.0
19,Kadayıf,5.0
19,Kola,1.0
19,Ayran,5.0
19,Fanta,2.0
19,Su,5.0
20,Mercimek Çorbası,3.0
20,Ezogelin Çorbası,5.0
20,Şehriye Çorbası,2.0
20,Yayla Çorbası,4.0
20,Kuzu Etli Çorba,0
20,Tas Kebabı,3.0
20,Kuzu Şiş,1.0
20,Kabak Graten,0
20,Kabak Dolması,1.0
20,Köfte,4.0
20,Tavuk Biftek,3.0
20,Tavuk Sote,5.0
20,Karnıyarık,2.0
20,Kuru Fasulye,5.0
20,Patlıcan Musakka,1.0
20,Bezelye,5.0
20,Tavuk Kanat,5.0
20,Nohut,4.0
20,Türlü,3.0
20,Ispanak,5.0
20,Taze Fasulye,2.0
20,Bamya,2.0
20,Dana Rosto,0
20,Pirinç Pilavı,5.0
20,Patates Kızartması,5.0
20,Bulgur Pilavı,3.0
20,Cacık,5.0
20,Çoban Salata,2.0
20,Yoğurt,3.0
20,Pırasa,1.0
20,İrmik Helvası,4.0
20,Turşu,1.0
20,Sütlaç,3.0
20,Kadayıf,5.0
20,Kola,4.0
20,Ayran,2.0
20,Fanta,1.0
20,Su,5.0
21,Mercimek Çorbası,4.0
21,Ezogelin Çorbası,5.0
21,Şehriye Çorbası,3.0
21,Yayla Çorbası,2.0
21,Kuzu Etli Çorba,0
21,Tas Kebabı,5.0
21,Kuzu Şiş,5.0
21,Kabak Graten,0
21,Kabak Dolması,1.0
21,Köfte,5.0
21,Tavuk Biftek,4.0
21,Tavuk Sote,4.0
21,Karnıyarık,5.0
21,Kuru Fasulye,4.0
21,Patlıcan Musakka,4.0
21,Bezelye,3.0
21,Tavuk Kanat,4.0
21,Nohut,3.0
21,Türlü,4.0
21,Ispanak,3.0
21,Taze Fasulye,2.0
21,Bamya,3.0
21,Dana Rosto,5.0
21,Pirinç Pilavı,4.0
21,Patates Kızartması,4.0
21,Bulgur Pilavı,5.0
21,Cacık,4.0
21,Çoban Salata,2.0
21,Yoğurt,3.0
21,Pırasa,3.0
21,İrmik Helvası,1.0
21,Turşu,2.0
21,Sütlaç,5.0
21,Kadayıf,4.0
21,Kola,4.0
21,Ayran,3.0
21,Fanta,4.0
21,Su,5.0
22,Mercimek Çorbası,4.0
22,Ezogelin Çorbası,5.0
22,Şehriye Çorbası,2.0
22,Yayla Çorbası,4.0
22,Kuzu Etli Çorba,1.0
22,Tas Kebabı,5.0
22,Kuzu Şiş,4.0
22,Kabak Graten,2.0
22,Kabak Dolması,1.0
22,Köfte,5.0
22,Tavuk Biftek,5.0
22,Tavuk Sote,5.0
22,Karnıyarık,4.0
22,Kuru Fasulye,4.0
22,Patlıcan Musakka,3.0
22,Bezelye,2.0
22,Tavuk Kanat,4.0
22,Nohut,4.0
22,Türlü,4.0
22,Ispanak,1.0
22,Taze Fasulye,3.0
22,Bamya,1.0
22,Dana Rosto,0
22,Pirinç Pilavı,4.0
22,Patates Kızartması,4.0
22,Bulgur Pilavı,4.0
22,Cacık,4.0
22,Çoban Salata,4.0
22,Yoğurt,4.0
22,Pırasa,2.0
22,İrmik Helvası,2.0
22,Turşu,4.0
22,Sütlaç,5.0
22,Kadayıf,5.0
22,Kola,4.0
22,Ayran,3.0
22,Fanta,2.0
22,Su,5.0
23,Mercimek Çorbası,5.0
23,Ezogelin Çorbası,4.0
23,Şehriye Çorbası,5.0
23,Yayla Çorbası,5.0
23,Kuzu Etli Çorba,0
23,Tas Kebabı,5.0
23,Kuzu Şiş,5.0
23,Kabak Graten,1.0
23,Kabak Dolması,1.0
23,Köfte,5.0
23,Tavuk Biftek,5.0
23,Tavuk Sote,5.0
23,Karnıyarık,5.0
23,Kuru Fasulye,5.0
23,Patlıcan Musakka,1.0
23,Bezelye,1.0
23,Tavuk Kanat,5.0
23,Nohut,5.0
23,Türlü,3.0
23,Ispanak,4.0
23,Taze Fasulye,3.0
23,Bamya,1.0
23,Dana Rosto,5.0
23,Pirinç Pilavı,5.0
23,Patates Kızartması,5.0
23,Bulgur Pilavı,5.0
23,Cacık,4.0
23,Çoban Salata,5.0
23,Yoğurt,4.0
23,Pırasa,3.0
23,İrmik Helvası,5.0
23,Turşu,5.0
23,Sütlaç,4.0
23,Kadayıf,4.0
23,Kola,5.0
23,Ayran,2.0
23,Fanta,5.0
23,Su,5.0
24,Mercimek Çorbası,2.0
24,Ezogelin Çorbası,0
24,Şehriye Çorbası,3.0
24,Yayla Çorbası,5.0
24,Kuzu Etli Çorba,0
24,Tas Kebabı,1.0
24,Kuzu Şiş,4.0
24,Kabak Graten,0
24,Kabak Dolması,5.0
24,Köfte,5.0
24,Tavuk Biftek,5.0
24,Tavuk Sote,5.0
24,Karnıyarık,5.0
24,Kuru Fasulye,4.0
24,Patlıcan Musakka,0
24,Bezelye,4.0
24,Tavuk Kanat,5.0
24,Nohut,3.0
24,Türlü,3.0
24,Ispanak,4.0
24,Taze Fasulye,2.0
24,Bamya,5.0
24,Dana Rosto,0
24,Pirinç Pilavı,4.0
24,Patates Kızartması,5.0
24,Bulgur Pilavı,5.0
24,Cacık,5.0
24,Çoban Salata,5.0
24,Yoğurt,5.0
24,Pırasa,2.0
24,İrmik Helvası,2.0
24,Turşu,5.0
24,Sütlaç,2.0
24,Kadayıf,3.0
24,Kola,5.0
24,Ayran,5.0
24,Fanta,1.0
24,Su,5.0
25,Mercimek Çorbası,4.0
25,Ezogelin Çorbası,3.0
25,Şehriye Çorbası,2.0
25,Yayla Çorbası,2.0
25,Kuzu Etli Çorba,4.0
25,Tas Kebabı,3.0
25,Kuzu Şiş,4.0
25,Kabak Graten,1.0
25,Kabak Dolması,1.0
25,Köfte,4.0
25,Tavuk Biftek,4.0
25,Tavuk Sote,2.0
25,Karnıyarık,3.0
25,Kuru Fasulye,3.0
25,Patlıcan Musakka,4.0
25,Bezelye,2.0
25,Tavuk Kanat,3.0
25,Nohut,2.0
25,Türlü,2.0
25,Ispanak,2.0
25,Taze Fasulye,2.0
25,Bamya,3.0
25,Dana Rosto,5.0
25,Pirinç Pilavı,3.0
25,Patates Kızartması,2.0
25,Bulgur Pilavı,3.0
25,Cacık,3.0
25,Çoban Salata,3.0
25,Yoğurt,4.0
25,Pırasa,2.0
25,İrmik Helvası,3.0
25,Turşu,2.0
25,Sütlaç,2.0
25,Kadayıf,3.0
25,Kola,2.0
25,Ayran,4.0
25,Fanta,1.0
25,Su,5.0
26,Mercimek Çorbası,4.0
26,Ezogelin Çorbası,4.0
26,Şehriye Çorbası,3.0
26,Yayla Çorbası,3.0
26,Kuzu Etli Çorba,4.0
26,Tas Kebabı,4.0
26,Kuzu Şiş,4.0
26,Kabak Graten,2.0
26,Kabak Dolması,4.0
26,Köfte,3.0
26,Tavuk Biftek,3.0
26,Tavuk Sote,3.0
26,Karnıyarık,3.0
26,Kuru Fasulye,3.0
26,Patlıcan Musakka,3.0
26,Bezelye,4.0
26,Tavuk Kanat,4.0
